# Every networked prefab the stock game ships, at one build.
# Taken from the game's own asset bundles, NOT from a running server:
# a modded server's registry holds the mod's prefabs too and would
# answer a question nobody asked.
# source Assets/Systems/_GameMain.prefab bundle d59cfac
# bundle_sha256 3e336952fee0bb40dc59b7749cfae4816e7222263dce7eda87989760c43fa767
#buildid 25253764
Abomination	2095123679
Abomination_attack1	1382552281
Abomination_attack2	1382552278
Abomination_attack3	1382552279
Abomination_ragdoll	-1559908641
Acorn	-2047937207
Amber	-1570747403
AmberPearl	-1844493069
AncientCoin	-433517163
AncientGemstoneBlack	-1481428727
AncientGemstoneGreen	1531072013
AncientGemstoneOrange	278534492
AncientGemstonePurple	-598907644
AncientSeed	-500516295
ArmorAshlandsMediumChest	1232186885
ArmorAshlandsMediumlegs	2121838973
ArmorBerserkerChest	-1016581293
ArmorBerserkerLegs	542491355
ArmorBerserkerUndeadChest	-1774732552
ArmorBerserkerUndeadLegs	69446882
ArmorBronzeChest	-524840022
ArmorBronzeLegs	-1070975544
ArmorCarapaceChest	-1330578868
ArmorCarapaceLegs	-1276324482
ArmorDeepNorthHeavyChest	-1901098214
ArmorDeepNorthHeavylegs	-1140234980
ArmorDeepNorthMageChest	535318471
ArmorDeepNorthMagelegs	-1957939313
ArmorDeepNorthMediumChest	-1997224466
ArmorDeepNorthMediumlegs	1617367972
ArmorDress1	1409301309
ArmorDress10	1851887405
ArmorDress2	1409301306
ArmorDress3	1409301307
ArmorDress4	1409301312
ArmorDress5	1409301313
ArmorDress6	1409301310
ArmorDress7	1409301311
ArmorDress8	1409301300
ArmorDress9	1409301301
ArmorFenringChest	349244329
ArmorFenringLegs	1068454321
ArmorFlametalChest	-2047840346
ArmorFlametalLegs	2023116964
ArmorGoldHeavyChestUncooked	1665170035
ArmorGoldHeavyHelmetUncooked	1525744211
ArmorGoldHeavyLegsUncooked	1144827707
ArmorGoldMageChestUncooked	-1033536116
ArmorGoldMageHelmetUncooked	-2099405958
ArmorGoldMageLegsUncooked	-86262190
ArmorGoldMediumChestUncooked	1823466325
ArmorGoldMediumHelmetUncooked	509632925
ArmorGoldMediumLegsUncooked	1268757825
ArmorHarvester1	-964905328
ArmorHarvester2	-964905331
ArmorIronChest	-77418440
ArmorIronLegs	855433562
ArmorLeatherChest	1842977441
ArmorLeatherLegs	-129361023
ArmorLoxChest	-340589159
ArmorLoxLegs	1959623809
ArmorMageChest	916504644
ArmorMageChest_Ashlands	1247702357
ArmorMageLegs	-490399162
ArmorMageLegs_Ashlands	-1792357735
ArmorPaddedCuirass	-2102914493
ArmorPaddedGreaves	-1316976302
ArmorRagsChest	-1873790835
ArmorRagsLegs	-1807008579
ArmorRootChest	973754414
ArmorRootLegs	1839036508
ArmorStand	1580161127
ArmorStand_Female	826840908
ArmorStand_Male	639316453
ArmorTrollLeatherChest	-1722809642
ArmorTrollLeatherLegs	-560834156
ArmorTunic1	-2092967397
ArmorTunic10	-2054182805
ArmorTunic2	-2092967398
ArmorTunic3	-2092967399
ArmorTunic4	-2092967400
ArmorTunic5	-2092967401
ArmorTunic6	-2092967402
ArmorTunic7	-2092967403
ArmorTunic8	-2092967388
ArmorTunic9	-2092967389
ArmorWolfChest	-914594978
ArmorWolfLegs	-1695215220
ArrowBloodGold	-1705743509
ArrowBronze	2137518083
