# Every name the catalogue is known to contain, so a runtime report can be
# reconciled against it by identity rather than by a plausible total.
# Exact capitalisation, never folded: MWL_MaypoleHut1 and MWL_MayPoleHut1 are
# two lookups and one of them is a registration failure.
#
# name TAB pack TAB declared-in-the-input-source
# 'declared' is what the INPUT recorded; the runtime decides for itself whether
# a definition exists, and a disagreement is a finding, not a correction.
#source 8c3d39ccb1c293218e68a5ac04014b7a6eb82cf2
#audit de03143db6f43d59de7371ed9d0fea2be94ecc52c7fda8a9003760a038e062a6
#definitions d18cbf8c4fa50c52f12f8f3654f13478828b799e9126d387036b8023643cbf89
BFD_Exterior	Dungeons	1
CD_Exterior1	Dungeons	1
MWL_AbandonedHouse1	Swamp	1
MWL_AncientShrine1	Mistlands	1
MWL_AshTower1	Ashlands	1
MWL_AshWallPost1	Ashlands	1
MWL_AshlandsFort1	Ashlands	1
MWL_AshlandsFort2	Ashlands	1
MWL_AshlandsFort3	Ashlands	1
MWL_AshlandsFort4	Ashlands	1
MWL_Belmont1	Swamp	1
MWL_BlackForestBlacksmith1	Traders	1
MWL_BlackForestBlacksmith2	Traders	1
MWL_CastleCorner1	Swamp	1
MWL_CoastTower1	BlackForest	1
MWL_CrookedHut1	BlackForest	1
MWL_DeerShrine1	Meadows	1
MWL_DeerShrine2	Meadows	1
MWL_DvergrEitrSingularity1	Mistlands	1
MWL_DvergrHouse1	Mistlands	1
MWL_DvergrHouseWood1	Mistlands	1
MWL_DvergrHouseWood2	Mistlands	1
MWL_DvergrKnowledgeExtractor1	Mistlands	1
MWL_ForestCamp1	BlackForest	1
MWL_ForestForge1	BlackForest	1
MWL_ForestForge2	BlackForest	1
MWL_ForestGreatHouse2	BlackForest	1
MWL_ForestGrove1	BlackForest	1
MWL_ForestHouse2	BlackForest	1
MWL_ForestPillar1	BlackForest	1
MWL_ForestRuin1	BlackForest	1
MWL_ForestRuin2	BlackForest	1
MWL_ForestRuin3	BlackForest	1
MWL_ForestSkull1	BlackForest	1
MWL_ForestTower2	BlackForest	1
MWL_ForestTower3	BlackForest	1
MWL_ForestTower4	BlackForest	1
MWL_ForestTower5	BlackForest	1
MWL_FortBakkarhalt1	Swamp	1
MWL_FulingRock1	Plains	1
MWL_FulingStoneHouse1	Plains	1
MWL_FulingStoneHouse2	Plains	1
MWL_FulingStoneHouse3	Plains	1
MWL_FulingStoneHouse4	Plains	1
MWL_FulingStoneHouse5	Plains	1
MWL_FulingStoneOpen1	Plains	1
MWL_FulingStoneOpen2	Plains	1
MWL_FulingTarPit1	Plains	1
MWL_FulingTemple1	Plains	1
MWL_FulingTemple2	Plains	1
MWL_FulingTemple3	Plains	1
MWL_FulingTemple4	Plains	1
MWL_FulingTemple5	Plains	1
MWL_FulingTempleBroken1	Plains	1
MWL_FulingTower1	Plains	1
MWL_FulingVillage1	Plains	1
MWL_FulingVillage2	Plains	1
MWL_FulingWall1	Plains	1
MWL_GoblinFort1	Plains	1
MWL_GuardTower1	BlackForest	1
MWL_GuckPit1	Swamp	1
MWL_MarbleCage1	Mistlands	1
MWL_MarbleCliffAltar1	Mistlands	1
MWL_MarbleHome1	Mistlands	1
MWL_MarbleHome2	Mistlands	1
MWL_MarbleJail1	Mistlands	1
MWL_MassGrave1	BlackForest	1
MWL_MayPoleHut1		0
MWL_MaypoleHut1	Meadows	1
MWL_MeadowsBarn1	Meadows	1
